Draw,Date,WN1,WN2,WN3,WN4,WN5,WN6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
19/054,5/16/2019,1,4,7,23,37,38,34,37,,4,2,3,0,1,2,0,0,0,2,748490,123.5,32320,165.5,9600,4638.9,640,4232.7,320,74802,40,36798568
19/053,5/14/2019,10,12,14,30,37,41,5,,14,2,4,1,2,1,1,1,1,72889260,9,635210,193,78990,471,9600,9663.7,640,14525.9,320,181516.3,40,119440093
19/052,5/9/2019,3,4,5,24,29,32,2,,,3,3,3,0,2,1,0,0,0,3.5,911520,138,61640,510.9,9600,7705.4,640,15768.4,320,139392,40,81166924
19/051,5/7/2019,6,12,35,39,42,44,22,"6,35",,2,4,1,1,0,2,2,0,0,1.5,2489190,78.5,126830,253,9600,4550.7,640,8045.7,320,92997.2,40,72202961
19/050,5/4/2019,6,13,19,20,24,35,43,"6,19",,3,3,1,3,1,1,0,0,0,0,0,69.5,107020,186,9600,4882,640,5196.7,320,88574.5,40,56573717
19/049,5/2/2019,1,6,19,23,45,47,49,"1,45",,5,1,2,1,1,0,2,0,0,5,473000,68.5,92060,248.5,9600,4017,640,7372.5,320,79589.5,40,51528504
19/048,4/30/2019,1,29,32,43,45,49,5,32,,5,1,1,0,1,1,3,0,0,2.5,931580,59,105260,177.5,9600,4353,640,5628.5,320,80668.1,40,49221733
19/047,4/27/2019,2,8,14,21,32,35,4,21,,2,4,2,1,1,2,0,0,0,0,0,41.5,110980,146.8,9600,2879,640,4550.6,320,56352,40,36325619
19/046,4/25/2019,11,13,18,21,28,34,19,28,,3,3,0,3,2,1,0,1.5,50106390,6.5,979980,262,64830,667,9600,13334.9,640,18604.8,320,241892,40,143023921
19/045,4/20/2019,28,30,32,37,39,47,23,"30,32",,3,3,0,0,2,3,1,0.5,112099610,7.5,1382780,283,97720,846,9600,15257.7,640,23845.2,320,291002.8,40,209508461
19/044,4/16/2019,11,20,30,32,33,43,34,,,3,3,0,2,1,2,1,0,0,6,1165930,220,84790,659.5,9600,13852.7,640,19779.1,320,248635.2,40,153188091
19/043,4/13/2019,3,15,22,35,40,49,39,,,4,2,1,1,1,2,1,0,0,0,0,75.5,88150,280.5,9600,4173.1,640,7483.3,320,81117,40,54237186
19/042,4/11/2019,6,18,32,38,41,45,33,32,,2,4,1,1,0,2,2,0,0,3.5,723070,60.5,111540,203.9,9600,3979,640,6132.5,320,71949.7,40,51638562
19/041,4/9/2019,3,14,17,23,32,43,36,,,4,2,1,2,1,1,1,0,0,2.5,875720,125.5,46510,248,9600,5038.2,640,5741,320,85146.6,40,49790907
19/040,4/6/2019,8,21,34,37,41,45,49,34,,4,2,1,0,1,2,2,0,0,0.5,2073190,48.5,113990,116.5,9600,2495.4,640,3621,320,49436.9,40,38962780
19/039,4/4/2019,29,34,38,42,44,47,36,,,2,4,0,0,1,2,3,0,0,1,1855930,40.5,122200,132,9600,2270,640,3693.9,320,45870.2,40,35802711
